deployment,endpoint,requests,container,role,samples,cpu_avg_pct,cpu_max_pct,mem_max_mib,pids_max
x3,static,5000,software-architecture-app-1,app,85,0.01,0.23,50.9,11
x3,static,5000,software-architecture-app-2,app,85,0.01,0.31,52.4,11
x3,static,5000,software-architecture-app-3,app,85,0.01,0.27,54.6,11
x3,static,5000,software-architecture-db-1,db,85,0.49,2.33,22.6,7
x3,static,5000,software-architecture-redis-1,redis,85,1.0,1.65,10.0,6
x3,static,5000,software-architecture-static-assets-1,static,85,1.27,2.38,8.3,9
x3,static,5000,software-architecture-traefik-1,traefik,85,5.83,8.04,46.4,13
x3,aggregation,1,minikube,other,85,0.23,2.79,69.9,50
x3,aggregation,1,opensearch,opensearch,85,1.99,13.17,1163.3,136
x3,aggregation,1,software-architecture-app-1,app,85,0.0,0.26,51.5,11
x3,aggregation,1,software-architecture-app-2,app,85,0.03,0.87,55.7,11
x3,aggregation,1,software-architecture-app-3,app,85,0.0,0.0,54.6,11
x3,aggregation,1,software-architecture-db-1,db,85,0.43,2.6,22.5,7
x3,aggregation,1,software-architecture-redis-1,redis,85,1.09,1.61,9.7,6
x3,aggregation,1,software-architecture-static-assets-1,static,85,0.0,0.11,7.7,9
x3,aggregation,1,software-architecture-traefik-1,traefik,85,0.07,3.9,45.5,13
x3,aggregation,10,minikube,other,84,0.22,1.49,69.7,50
x3,aggregation,10,opensearch,opensearch,84,1.66,6.14,1164.3,136
x3,aggregation,10,software-architecture-app-1,app,84,0.01,0.26,51.9,11
x3,aggregation,10,software-architecture-app-2,app,84,0.01,0.51,57.6,11
x3,aggregation,10,software-architecture-app-3,app,84,0.0,0.2,55.8,11
x3,aggregation,10,software-architecture-db-1,db,84,0.41,2.53,22.7,7
x3,aggregation,10,software-architecture-redis-1,redis,84,1.11,1.77,10.0,6
x3,aggregation,10,software-architecture-static-assets-1,static,84,0.0,0.0,7.7,9
x3,aggregation,10,software-architecture-traefik-1,traefik,84,0.06,1.57,37.5,13
x3,aggregation,100,minikube,other,83,0.25,1.74,69.9,50
x3,aggregation,100,opensearch,opensearch,83,1.78,6.52,1163.3,136
x3,aggregation,100,software-architecture-app-1,app,83,0.09,1.18,53.2,11
x3,aggregation,100,software-architecture-app-2,app,83,0.13,2.74,58.5,11
x3,aggregation,100,software-architecture-app-3,app,83,0.17,6.8,57.7,11
x3,aggregation,100,software-architecture-db-1,db,83,0.44,3.54,22.5,7
x3,aggregation,100,software-architecture-redis-1,redis,83,1.1,1.86,10.0,6
x3,aggregation,100,software-architecture-static-assets-1,static,83,0.0,0.0,7.7,9
x3,aggregation,100,software-architecture-traefik-1,traefik,83,0.42,5.2,38.2,13
x3,aggregation,1000,minikube,other,81,0.23,1.82,69.9,50
x3,aggregation,1000,opensearch,opensearch,81,1.65,5.09,1163.3,136
x3,aggregation,1000,software-architecture-app-1,app,81,0.87,7.96,58.1,11
x3,aggregation,1000,software-architecture-app-2,app,81,0.89,3.81,61.9,11
x3,aggregation,1000,software-architecture-app-3,app,81,0.97,12.03,61.9,11
x3,aggregation,1000,software-architecture-db-1,db,81,0.37,3.05,22.5,7
x3,aggregation,1000,software-architecture-redis-1,redis,81,1.13,1.77,10.0,6
x3,aggregation,1000,software-architecture-static-assets-1,static,81,0.0,0.0,7.7,9
x3,aggregation,1000,software-architecture-traefik-1,traefik,81,0.99,6.28,38.5,13
x3,aggregation,5000,minikube,other,85,0.19,0.86,69.9,50
x3,aggregation,5000,opensearch,opensearch,85,1.51,8.31,1162.2,136
x3,aggregation,5000,software-architecture-app-1,app,85,3.4,6.62,87.0,11
x3,aggregation,5000,software-architecture-app-2,app,85,3.46,9.2,89.1,11
x3,aggregation,5000,software-architecture-app-3,app,85,3.71,10.02,89.5,11
x3,aggregation,5000,software-architecture-db-1,db,85,0.37,2.57,22.5,7
x3,aggregation,5000,software-architecture-redis-1,redis,85,1.13,1.68,9.8,6
x3,aggregation,5000,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,aggregation,5000,software-architecture-traefik-1,traefik,85,3.19,5.35,38.9,13
x3,search,1,minikube,other,84,0.28,2.28,69.9,50
x3,search,1,opensearch,opensearch,84,1.59,5.71,1165.3,137
x3,search,1,software-architecture-app-1,app,84,0.03,1.1,87.5,11
x3,search,1,software-architecture-app-2,app,84,0.01,0.44,88.4,11
x3,search,1,software-architecture-app-3,app,84,0.01,0.29,89.0,11
x3,search,1,software-architecture-db-1,db,84,0.43,3.14,26.0,12
x3,search,1,software-architecture-redis-1,redis,84,1.07,1.6,10.0,6
x3,search,1,software-architecture-static-assets-1,static,84,0.0,0.0,7.7,9
x3,search,1,software-architecture-traefik-1,traefik,84,0.05,2.06,37.0,13
x3,search,10,minikube,other,85,0.22,1.11,69.9,50
x3,search,10,opensearch,opensearch,85,1.62,3.89,1165.3,137
x3,search,10,software-architecture-app-1,app,85,0.01,0.25,89.5,11
x3,search,10,software-architecture-app-2,app,85,0.02,0.47,90.4,11
x3,search,10,software-architecture-app-3,app,85,0.02,0.68,89.2,11
x3,search,10,software-architecture-db-1,db,85,0.44,2.49,26.0,14
x3,search,10,software-architecture-redis-1,redis,85,1.13,1.46,10.1,6
x3,search,10,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,search,10,software-architecture-traefik-1,traefik,85,0.05,1.89,37.4,13
x3,search,100,minikube,other,85,0.26,3.27,70.0,50
x3,search,100,opensearch,opensearch,85,2.79,10.36,1233.9,137
x3,search,100,software-architecture-app-1,app,85,0.17,2.46,89.8,11
x3,search,100,software-architecture-app-2,app,85,0.23,3.23,89.7,11
x3,search,100,software-architecture-app-3,app,85,0.23,2.82,89.1,11
x3,search,100,software-architecture-db-1,db,85,0.68,2.77,33.0,16
x3,search,100,software-architecture-redis-1,redis,85,1.09,1.55,10.1,6
x3,search,100,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,search,100,software-architecture-traefik-1,traefik,85,0.28,2.37,43.3,13
x3,search,1000,minikube,other,85,0.27,3.67,70.0,50
x3,search,1000,opensearch,opensearch,85,7.74,78.14,1186.8,137
x3,search,1000,software-architecture-app-1,app,85,1.2,4.51,90.5,11
x3,search,1000,software-architecture-app-2,app,85,1.2,2.79,90.0,11
x3,search,1000,software-architecture-app-3,app,85,1.31,3.03,88.8,11
x3,search,1000,software-architecture-db-1,db,85,0.9,3.35,32.5,18
x3,search,1000,software-architecture-redis-1,redis,85,0.91,1.34,10.1,6
x3,search,1000,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,search,1000,software-architecture-traefik-1,traefik,85,1.01,5.78,38.6,13
x3,search,5000,minikube,other,84,0.11,0.79,70.0,50
x3,search,5000,opensearch,opensearch,84,14.45,51.62,1201.2,139
x3,search,5000,software-architecture-app-1,app,84,3.47,7.56,93.6,11
x3,search,5000,software-architecture-app-2,app,84,3.82,11.11,93.4,11
x3,search,5000,software-architecture-app-3,app,84,3.34,11.83,95.1,11
x3,search,5000,software-architecture-db-1,db,84,1.76,4.45,32.2,12
x3,search,5000,software-architecture-redis-1,redis,84,0.51,1.14,9.8,6
x3,search,5000,software-architecture-static-assets-1,static,84,0.0,0.0,7.7,9
x3,search,5000,software-architecture-traefik-1,traefik,84,1.72,4.65,38.7,14
x3,detail,1,minikube,other,85,0.3,2.48,70.0,50
x3,detail,1,opensearch,opensearch,85,1.68,5.71,1201.2,138
x3,detail,1,software-architecture-app-1,app,85,0.01,0.37,94.8,11
x3,detail,1,software-architecture-app-2,app,85,0.01,0.34,92.2,11
x3,detail,1,software-architecture-app-3,app,85,0.0,0.1,93.7,11
x3,detail,1,software-architecture-db-1,db,85,0.4,2.29,24.3,8
x3,detail,1,software-architecture-redis-1,redis,85,1.05,1.63,10.1,6
x3,detail,1,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,detail,1,software-architecture-traefik-1,traefik,85,0.04,1.7,38.2,14
x3,detail,10,minikube,other,85,0.21,0.56,70.0,50
x3,detail,10,opensearch,opensearch,85,1.74,11.96,1202.2,138
x3,detail,10,software-architecture-app-1,app,85,0.01,0.34,93.3,11
x3,detail,10,software-architecture-app-2,app,85,0.02,0.55,92.2,11
x3,detail,10,software-architecture-app-3,app,85,0.01,0.27,93.8,11
x3,detail,10,software-architecture-db-1,db,85,0.47,2.95,24.5,8
x3,detail,10,software-architecture-redis-1,redis,85,1.09,1.62,10.1,6
x3,detail,10,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,detail,10,software-architecture-traefik-1,traefik,85,0.05,2.28,37.2,14
x3,detail,100,minikube,other,82,0.21,0.81,70.0,50
x3,detail,100,opensearch,opensearch,82,1.75,5.4,1202.2,138
x3,detail,100,software-architecture-app-1,app,82,0.13,1.46,94.7,11
x3,detail,100,software-architecture-app-2,app,82,0.08,1.12,92.5,11
x3,detail,100,software-architecture-app-3,app,82,0.21,4.17,94.4,11
x3,detail,100,software-architecture-db-1,db,82,0.6,3.28,27.8,15
x3,detail,100,software-architecture-redis-1,redis,82,1.13,2.62,10.1,6
x3,detail,100,software-architecture-static-assets-1,static,82,0.0,0.0,7.7,9
x3,detail,100,software-architecture-traefik-1,traefik,82,0.34,4.45,37.4,14
x3,detail,1000,minikube,other,85,0.18,0.44,70.0,50
x3,detail,1000,opensearch,opensearch,85,1.54,4.46,1202.2,138
x3,detail,1000,software-architecture-app-1,app,85,1.22,8.53,94.4,11
x3,detail,1000,software-architecture-app-2,app,85,1.16,9.27,94.0,11
x3,detail,1000,software-architecture-app-3,app,85,1.03,4.06,94.1,11
x3,detail,1000,software-architecture-db-1,db,85,0.85,3.17,26.5,9
x3,detail,1000,software-architecture-redis-1,redis,85,1.07,1.57,10.1,6
x3,detail,1000,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,detail,1000,software-architecture-traefik-1,traefik,85,1.04,8.41,37.6,14
x3,detail,5000,minikube,other,85,0.19,1.89,69.7,50
x3,detail,5000,opensearch,opensearch,85,1.6,12.71,1202.2,138
x3,detail,5000,software-architecture-app-1,app,85,5.05,10.66,94.7,11
x3,detail,5000,software-architecture-app-2,app,85,4.97,18.07,96.0,11
x3,detail,5000,software-architecture-app-3,app,85,3.96,11.02,96.0,11
x3,detail,5000,software-architecture-db-1,db,85,2.26,4.51,27.3,10
x3,detail,5000,software-architecture-redis-1,redis,85,0.92,1.21,10.1,6
x3,detail,5000,software-architecture-static-assets-1,static,85,0.0,0.0,7.7,9
x3,detail,5000,software-architecture-traefik-1,traefik,85,2.92,8.32,37.7,14
